Accident Latitude,Accident Longitude,All Costs,Risk Score
29.74772,-95.13058,62250,0.007406075631310721
29.747769,-95.129993,0,0.0
29.74787,-95.0312,7000,0.0008328117175771092
29.74789,-95.129407,2545,0.0003027865458905347
29.747986,-95.129617,1050,0.0001249217576365664
29.74799,-95.12934,11330,0.0013479652514498067
29.74804,-95.127568,20,2.379462050220312e-06
29.748058,-95.128737,45100,0.005365686923246803
29.748169,-95.130194,44450,0.005288354406614644
29.748201,-95.128672,40700,0.0048422052721983355
29.74863,-95.20251,53000,0.006305574433083827
29.75023,-95.28087,3900,0.0004639950997929609
29.75023,-95.20624,265573,0.03159604375315795
29.750786,-95.209372,1630,0.00019392615709295542
29.75079,-95.20356,52952,0.006299863724163298
29.750895,-95.131758,49800,0.005924860505048577
29.752401,-95.207068,1500,0.0001784596537665234
29.7525,-95.20551,32088,0.003817608913373469
29.758902,-95.143291,40180,0.004780339258892608
29.759006,-96.147803,25100,0.002986224873026492
29.760156,-96.148478,2215,0.00026352542206189956
29.7632,-96.14942,3335,0.00039677529687423703
29.763813,-95.012758,8858,0.0010538637420425762
29.763824,-95.012757,35,4.164058587885546e-06
29.764311,-94.982056,130050,0.01547245198155758
29.765054,-95.0124,0,0.0
29.765783,-95.011627,285525,0.03396979509445773
29.76621,-95.012446,2040,0.00024270512912247184
29.76673,-95.01269,17300,0.00205823467344057
29.766845,-95.012746,794,9.446464339374638e-05
29.76713,-95.156254,17550,0.002087977949068324
29.7675,-95.012183,2100,0.0002498435152731328
29.781516,-90.523835,1586,0.00018869134058247075
29.787,-94.4015,18160,0.0021605515416000436
29.78732,-94.40156,212,2.522229773233531e-05
29.787397,-94.40137,1896,0.00022557300236088557
29.79064,-95.2821,6700,0.0007971197868238046
29.79114,-95.27918,19080,0.002270006795910178
29.79181,-95.28233,210019,0.024986612016260984
29.792012,-95.282365,780,9.279901995859218e-05
29.79428,-95.28162,125000,0.01487163781387695
29.79449,-95.28034,2000,0.0002379462050220312
29.79477,-95.2821,8075,0.000960707802776451
29.79489,-95.28466,3700,0.0004402004792907577
29.79545,-95.28304,23170,0.0027566067851802316
