Accident Latitude,Accident Longitude,Predicted Risk Score
39.91934,-75.20447,0.013385300268484569
28.68555,-91.04555,0.2924144138665477
35.68463,-101.35898,0.003914599181356426
27.86028,-82.59958,0.05646018624779907
30.15957,-93.33989,0.00218122407827168
41.1784,-87.8504,0.015757429187489076
39.46308,-92.87136,0.014652452214333034
37.15778,-78.835,0.016179378890624808
39.64343,-94.61827,0.025608468564192133
36.13252,-96.02906,0.0011382651317482886
41.184974,-110.410612,0.4722248441720901
35.42148,-96.14583,0.0008697862759409567
29.2564,-89.1883,1.810039521523028
38.1337,-85.5012,0.013393641655873905
32.06374,-97.81895,0.004625971630480837
38.63064,-93.39656,3.3906470918121627e-05
32.5375,-100.8377,0.0002220606877599093
35.86572,-97.62111,0.021821157775220257
35.76698,-84.36458,0.004286048345725258
39.02601,-85.85146,0.004349195437206905
29.90083,-94.00556,0.012434061773513184
32.47413,-94.7185,0.0006765077565886125
29.99763,-94.07668,0.002662449232365322
36.5746,-90.1886,0.0006400889736322511
28.279502,-97.29544,0.0003677780226104652
47.31006,-93.73207,0.1238347896892357
44.000221,-93.782668,0.01869062740599438
38.98742,-97.4042,0.07311272781437766
30.70863,-91.27566,0.006211693586680335
41.80708,-83.60071,0.14543657738072122
38.88188,-94.74432,0.0018335845438944272
42.51862,-114.27034,0.011962031789061717
38.47623,-97.72254,0.016481038165146778
33.85651,-84.62941,0.0037731269172460486
29.7169,-95.2364,0.010116841151134596
29.7268,-95.141,0.0005117212535911601
42.45589,-95.32798,0.00392662583933073
37.81654,-97.02048,0.011199564505346926
40.6054,-74.2383,0.0031751335756839472
29.91232,-94.01006,0.00022848002901587592
33.735001,-118.27167,0.0020305438387668504
36.253344,-115.045311,0.005116738492138843
48.39475,-102.9138,0.0007278919016185201
32.47042,-102.46394,0.00013734970656126166
31.42962,-102.380665,0.0013698819718651388
30.0119001,-90.8508001,0.23326758182991175
33.07358,-98.58654,0.002982484899617787
29.34921,-94.93901,0.025570357439392333
29.3475,-94.94167,0.0001870576387802668
32.48191,-94.83511,0.0008934602097543489
40.57083,-74.25333,0.0026778214852689287
32.56184,-98.350678,0.009217005203654769
40.61428,-74.21755,0.038804284674980725
38.1019,-98.856419,0.0014503569100102005
40.70942,-81.36428,0.13672215943548532
44.62351,-97.92161,0.027016057490864324
